name,description,price,category,stock,image
"Product 506","Sample description 506",33076,Furniture,334,
"Product 507","Sample description 507",6861,Accessories,389,
"Product 508","Sample description 508",31851,Computers,92,
"Product 509","Sample description 509",30338,Fashion,325,
"Product 510","Sample description 510",45703,Accessories,387,
"Product 511","Sample description 511",48387,Computers,60,
"Product 512","Sample description 512",32787,Fashion,381,
"Product 513","Sample description 513",42275,Furniture,201,
"Product 514","Sample description 514",24885,Fashion,239,
"Product 515","Sample description 515",3448,Furniture,409,
"Product 516","Sample description 516",12492,Electronics,336,
"Product 517","Sample description 517",16716,Accessories,482,
"Product 518","Sample description 518",9670,Fashion,128,
"Product 519","Sample description 519",14428,Accessories,466,
"Product 520","Sample description 520",15566,Furniture,183,
"Product 521","Sample description 521",42468,Computers,465,
"Product 522","Sample description 522",3285,Computers,313,
"Product 523","Sample description 523",29838,Computers,307,
"Product 524","Sample description 524",11026,Furniture,489,
"Product 525","Sample description 525",20545,Computers,216,
"Product 526","Sample description 526",14801,Computers,317,
"Product 527","Sample description 527",10666,Furniture,464,
"Product 528","Sample description 528",22514,Computers,388,
"Product 529","Sample description 529",29206,Accessories,227,
"Product 530","Sample description 530",32504,Accessories,8,
"Product 531","Sample description 531",31810,Fashion,5,
"Product 532","Sample description 532",23977,Accessories,239,
"Product 533","Sample description 533",24095,Electronics,266,
"Product 534","Sample description 534",18861,Furniture,187,
"Product 535","Sample description 535",13592,Furniture,437,
"Product 536","Sample description 536",16265,Accessories,498,
"Product 537","Sample description 537",13984,Electronics,311,
"Product 538","Sample description 538",3462,Fashion,32,
"Product 539","Sample description 539",5756,Furniture,414,
"Product 540","Sample description 540",24824,Furniture,300,
"Product 541","Sample description 541",32148,Computers,295,
"Product 542","Sample description 542",17371,Accessories,284,
"Product 543","Sample description 543",5796,Furniture,412,
"Product 544","Sample description 544",34421,Fashion,371,
"Product 545","Sample description 545",17553,Electronics,206,
"Product 546","Sample description 546",15763,Furniture,388,
"Product 547","Sample description 547",5484,Accessories,14,
"Product 548","Sample description 548",10759,Furniture,119,
"Product 549","Sample description 549",36408,Accessories,82,
"Product 550","Sample description 550",10815,Fashion,329,
"Product 551","Sample description 551",19181,Electronics,206,
"Product 552","Sample description 552",2763,Fashion,9,
"Product 553","Sample description 553",27203,Furniture,250,
"Product 554","Sample description 554",25584,Electronics,43,
"Product 555","Sample description 555",27528,Electronics,245,
"Product 556","Sample description 556",32408,Furniture,43,
"Product 557","Sample description 557",39987,Computers,104,
"Product 558","Sample description 558",27265,Computers,38,
"Product 559","Sample description 559",1939,Fashion,105,
"Product 560","Sample description 560",23936,Computers,340,
"Product 561","Sample description 561",16874,Computers,93,
"Product 562","Sample description 562",47554,Computers,77,
"Product 563","Sample description 563",11292,Computers,401,
"Product 564","Sample description 564",8752,Electronics,394,
"Product 565","Sample description 565",21791,Fashion,204,
"Product 566","Sample description 566",24713,Accessories,387,
"Product 567","Sample description 567",43353,Accessories,395,
"Product 568","Sample description 568",21658,Computers,170,
"Product 569","Sample description 569",29711,Computers,318,
"Product 570","Sample description 570",30032,Accessories,30,
"Product 571","Sample description 571",28127,Computers,247,
"Product 572","Sample description 572",16176,Electronics,482,
"Product 573","Sample description 573",24811,Furniture,394,
"Product 574","Sample description 574",32385,Fashion,21,
"Product 575","Sample description 575",31148,Furniture,473,
"Product 576","Sample description 576",33663,Computers,177,
"Product 577","Sample description 577",33535,Furniture,175,
"Product 578","Sample description 578",1812,Computers,115,
"Product 579","Sample description 579",38724,Furniture,150,
"Product 580","Sample description 580",7238,Fashion,194,
"Product 581","Sample description 581",1862,Computers,115,
"Product 582","Sample description 582",14058,Accessories,422,
"Product 583","Sample description 583",8673,Computers,384,
"Product 584","Sample description 584",25164,Fashion,36,
"Product 585","Sample description 585",20827,Accessories,345,
"Product 586","Sample description 586",33817,Furniture,2,
"Product 587","Sample description 587",24353,Computers,465,
